L,AG2,AG4,AG6,AG8,AG12,atm
2.51E-06,0.933831574,0.8796481,0.8143398,0.729916,0.6421463,7.27E-01
2.52E-06,0.935607429,0.8821703,0.8189945,0.736826,0.6503274,7.29E-01
2.53E-06,0.933488383,0.8776349,0.8134423,0.7314788,0.6435743,3.90E-01
2.54E-06,0.929496625,0.8718249,0.8030516,0.7174461,0.6260579,5.44E-01
2.55E-06,0.924796118,0.861824,0.7909299,0.7044055,0.6113546,2.44E-01
2.56E-06,0.925380725,0.8647906,0.7924308,0.7061932,0.6128329,1.70E-01
2.57E-06,0.923639685,0.8615968,0.7879665,0.7023603,0.6082661,4.53E-02
2.58E-06,0.917484939,0.8513583,0.7723192,0.6802034,0.5819677,8.16E-02
2.59E-06,0.901297347,0.8237309,0.7321571,0.6321706,0.5253763,2.51E-02
2.60E-06,0.868560265,0.7734776,0.6552392,0.529491,0.4139886,5.73E-02
2.61E-06,0.826913928,0.7142231,0.5654327,0.4222095,0.3071186,1.08E-02
2.62E-06,0.809350747,0.6910036,0.5301641,0.3831141,0.2711511,2.60E-03
2.63E-06,0.791856341,0.6656281,0.4965228,0.3439218,0.2351387,1.02E-03
2.64E-06,0.755332836,0.6174006,0.4309383,0.2706236,0.1735581,2.55E-01
2.65E-06,0.689855182,0.5391047,0.3283022,0.1726945,0.1014321,2.77E-01
2.66E-06,0.618981331,0.4624009,0.2371552,0.09740756,0.0552806,9.55E-03
2.67E-06,0.550907702,0.4093846,0.1672001,0.05286465,0.03152742,1.13E-06
2.68E-06,0.415023679,0.3170799,0.07148561,0.004310441,0.0117298,1.86E-08
2.69E-06,0.478897063,0.3537251,0.1098314,0.01942612,0.01695726,1.71E-04
2.70E-06,0.48206575,0.3648941,0.112026,0.02298034,0.01827852,2.07E-05
2.71E-06,0.463282445,0.3421882,0.0994346,0.01851552,0.0161507,4.08E-05
2.72E-06,0.458299296,0.3335088,0.09626038,0.01898784,0.01674849,1.64E-04
2.73E-06,0.467264172,0.3379596,0.1020205,0.02115939,0.0175528,1.56E-01
2.74E-06,0.466110806,0.3358733,0.1012669,0.02241598,0.01833476,9.20E-04
2.75E-06,0.474589858,0.3494148,0.1068945,0.02396932,0.01877216,5.08E-03
2.76E-06,0.47334523,0.3563493,0.1060557,0.022431,0.01811124,7.50E-06
2.77E-06,0.467044377,0.3417229,0.1018766,0.02094256,0.01679416,6.55E-04
2.78E-06,0.4610886,0.3433919,0.09802868,0.01932165,0.01682756,1.45E-04
2.79E-06,0.46599402,0.3429319,0.1011908,0.02164261,0.01735292,1.34E-02
2.80E-06,0.474480614,0.3442814,0.1068207,0.0259789,0.01900286,8.83E-02
2.81E-06,0.491159824,0.3567282,0.1184864,0.03343244,0.02152449,1.38E-01
2.82E-06,0.50887436,0.3693235,0.1317746,0.04442948,0.02590909,9.13E-02
2.83E-06,0.528152103,0.38485,0.1473252,0.05739584,0.03194961,4.96E-01
2.84E-06,0.543799676,0.3969741,0.1608114,0.07155788,0.03726727,3.00E-01
2.85E-06,0.55482347,0.4052131,0.1707908,0.08398167,0.04300336,3.13E-01
2.86E-06,0.560486503,0.4106347,0.1760741,0.09238862,0.04677427,4.46E-01
2.87E-06,0.564578745,0.4140601,0.179959,0.1005409,0.05142525,4.90E-01
2.88E-06,0.569309516,0.4172929,0.1845208,0.1082449,0.05473852,6.88E-01
2.89E-06,0.576512765,0.4238337,0.1916138,0.1193032,0.06070032,5.93E-01
2.90E-06,0.58416483,0.4310624,0.1993454,0.1301082,0.06617963,5.11E-01
2.91E-06,0.595384776,0.4424723,0.2110538,0.1442833,0.07566577,8.78E-01
