Wavelength,Transmittance_material,Transmittance_atm
2.4975,1.01E-12,0.908578
2.5072,7.08E-16,0.807639
2.5169,3.97E-22,0.440156
2.5268,1.52E-18,0.558148
2.5366,1.86E-06,0.353023
2.5466,2.06E-07,0.245649
2.5567,9.67E-12,0.628944
2.5668,1.12E-07,0.171529
2.577,7.46E-06,0.0460746
2.5873,2.30E-06,0.00709863
2.5976,0.000483786,0.0238284
2.6081,0.000148145,0.00158842
2.6186,6.10E-06,0.000162584
2.6293,9.43E-11,0.00191728
2.64,7.12E-14,0.254955
2.6454,1.16E-13,0.0872692
2.6562,2.10E-10,0.025071
2.6671,2.87E-05,4.35E-06
2.6782,0.000305407,2.34E-08
2.6893,8.83E-13,6.33E-05
2.6949,3.74E-14,4.44E-05
2.7061,6.96E-15,0.000120745
2.7175,1.47E-18,0.00489348
2.7289,5.77E-16,0.119028
2.7347,2.90E-11,0.0318418
2.7462,6.11E-08,0.0188042
2.7579,5.73E-06,3.70E-06
2.7697,0.022733156,0.000727891
2.7756,0.064336354,0.000300559
2.7876,0.849048724,0.00131817
2.7996,0.637780691,0.0910069
2.8057,1.71E-05,0.0124064
2.8179,1.66E-06,0.136191
2.824,4.34E-08,0.327365
2.8364,4.87E-09,0.160645
2.8489,5.44E-07,0.259234
2.8551,0.001099026,0.158893
2.8678,0.035472534,0.475689
2.8741,0.000471197,0.610055
2.8869,2.40E-09,0.655128
2.8998,9.07E-14,0.597605
2.9063,5.41E-16,0.611378
2.9194,1.47E-18,0.892636
2.926,1.28E-16,0.758024
2.9393,6.44E-10,0.746884
2.946,5.95E-09,0.738842
2.9594,7.73E-14,0.874877
2.9662,1.25E-15,0.901995
2.9798,1.98E-07,0.698397
2.9867,5.64E-05,0.934304
2.9936,1.24E-06,0.882779
3.0075,2.39E-08,0.729444
3.0145,1.36E-06,0.899797
3.0286,0.00097471,0.905736
3.0357,0.017667269,0.719308
3.0499,0.017347056,0.744222
3.0571,2.59E-07,0.747856
3.0644,9.86E-12,0.809759
3.0789,9.34E-09,0.926108
3.0863,0.000303984,0.801252
3.0936,0.154976337,0.718206
3.1085,0.014871192,0.742262
3.1159,0.000254635,0.71157
3.1234,3.26E-05,0.931457
3.1386,2.32E-06,0.784539
3.1462,1.94E-07,0.694017
3.1538,1.01E-08,0.921216
3.1693,3.64E-08,0.974563
3.177,7.73E-08,0.941215
3.1848,6.35E-08,0.85585
3.1927,1.13E-08,0.606049
3.2085,3.08E-06,0.527823
3.2164,0.000447267,0.701217
3.2244,0.000157328,0.452743
3.2325,8.61E-06,0.652411
3.2487,3.35E-10,0.519701
3.2569,1.07E-13,0.944888
3.2651,1.99E-18,0.796147
3.2733,3.91E-23,0.681305
3.2899,4.69E-37,0.909163
3.2983,3.18E-49,0.526229
3.3067,1.40E-66,0.844846
3.3152,1.24E-88,0.0763233
3.3237,1.51E-112,0.67179
3.3322,5.75E-129,0.928972
3.3494,1.73E-120,0.898245
3.3581,1.50E-105,0.695234
3.3668,2.98E-106,0.835446
3.3756,3.15E-130,0.940214
3.3844,7.48E-161,0.893338
3.3933,3.19E-166,0.708367
3.4022,1.19E-143,0.854364
3.4111,7.01E-117,0.930162
3.4292,8.41E-84,0.771046
3.4383,8.99E-70,0.926136
3.4474,3.05E-57,0.950729
3.4566,8.91E-45,0.956405
3.4658,3.99E-34,0.91113
3.4751,1.15E-28,0.950863
3.4845,1.01E-25,0.973215
3.4939,7.62E-23,0.967135
3.5033,2.67E-23,0.96767
3.5128,1.44E-25,0.973131
3.5224,4.90E-25,0.982976
3.532,6.85E-21,0.96169
3.5416,5.77E-15,0.919352
3.5513,7.20E-11,0.963487
3.5611,4.64E-10,0.967517
3.5709,2.35E-10,0.942978
3.5807,2.82E-09,0.946217
3.5907,4.59E-07,0.956016
3.6006,2.83E-07,0.967878
3.6107,4.13E-11,0.961853
3.6207,2.39E-12,0.978226
3.6309,3.63E-08,0.966071
3.6411,0.000648517,0.979759
3.6513,0.001802094,0.967568
3.6617,0.000196473,0.975499
3.672,0.001520801,0.938731
3.6825,0.000458173,0.965309
3.693,3.01E-05,0.970115
3.7035,0.000113927,0.977319
3.7141,0.007579719,0.959184
3.7248,0.216906767,0.971161
3.7355,0.49289576,0.951704
3.7463,0.180736645,0.969718
3.7572,0.009318389,0.95924
3.7681,0.001469058,0.95919
3.7791,2.82E-05,0.961455
3.7901,2.68E-06,0.943669
3.8013,1.11E-05,0.957307
3.8124,8.56E-06,0.94364
3.8237,5.60E-07,0.95639
3.835,4.18E-06,0.942981
3.8464,5.02E-05,0.937913
3.8578,2.37E-05,0.93532
3.8693,1.12E-05,0.898998
3.8809,0.000125217,0.857039
3.8926,0.000453086,0.875556
3.9043,0.000306114,0.907362
3.9161,0.000102682,0.868887
3.928,0.000106598,0.871197
3.9399,0.000338924,0.888023
3.9519,0.001537936,0.89835
3.964,0.068431317,0.900039
3.9762,0.107735094,0.887523
3.9884,0.099625792,0.882865
4.0007,0.001664377,0.870863
4.0131,5.20E-05,0.853603
4.0255,2.31E-05,0.831659
4.0381,1.98E-05,0.803346
4.0507,4.73E-05,0.783473
4.0634,8.38E-06,0.770523
4.0762,6.00E-06,0.725521
4.089,0.000668031,0.689492
4.102,0.003086321,0.648242
4.115,6.14E-06,0.592911
4.1281,2.38E-07,0.522515
4.1413,4.20E-06,0.434561
4.1546,1.08E-05,0.320663
4.1679,9.37E-06,0.197457
4.1814,8.47E-05,0.0711606
4.1949,0.00040948,0.000457886
4.2085,0.000140786,1.06E-17
4.2222,8.48E-05,1.11E-20
4.236,1.88E-07,9.46E-21
4.2499,3.64E-10,7.86E-21
4.2639,1.62E-10,6.21E-21
4.278,8.70E-12,4.49E-21
4.2921,0.000140373,2.83E-21
4.3064,0.053723501,1.17E-21
4.3208,0.071098841,1.35E-24
4.3352,0.00889777,1.95E-11
4.3498,0.000758,4.38E-08
4.3644,0.000125478,2.04E-05
