case_number,name,water productivity (kg/m2/hr),total efficiency (%),absorber temp (C),top surface temp (C)
1,a=0.05m_windless,4.68,306.13,69.99,24.78
2,a=0.05m_v=2m/s,4.2,274.98,67.82,24.69
3,a=0.05m_v=4m/s,4.13,270.59,67.5,24.74
4,a=0.05m_v=6m/s,4.1,268.58,67.35,24.77
5,a=0.05m_v=8m/s,4.08,267.36,67.27,24.79
6,a=0.05m_v=10m/s,4.07,266.52,67.2,24.81
7,a=0.10m_windless,5.25,343.64,72.42,25.36
8,a=0.10m_v=2m/s,4.83,316.54,70.7,24.96
9,a=0.10m_v=4m/s,4.76,311.41,70.36,24.94
10,a=0.10m_v=6m/s,4.72,309.01,70.2,24.93
11,a=0.10m_v=8m/s,4.7,307.55,70.1,24.93
12,a=0.10m_v=10m/s,4.68,306.53,70.03,24.94
13,a=0.20m_windless,5.58,365.63,73.76,25.75
14,a=0.20m_v=2m/s,5.23,342.46,72.36,25.23
15,a=0.20m_v=4m/s,5.14,336.5,71.99,25.13
16,a=0.20m_v=6m/s,5.1,333.66,71.81,25.09
17,a=0.20m_v=8m/s,5.07,331.91,71.7,25.07
18,a=0.20m_v=10m/s,5.05,330.68,71.62,25.06
19,a=0.50m_windless,5.84,382.28,74.74,26.1
20,a=0.50m_v=2m/s,5.56,363.95,73.67,25.58
21,a=0.50m_v=4m/s,5.45,356.68,73.23,25.4
22,a=0.50m_v=6m/s,5.39,353.07,73.01,25.32
23,a=0.50m_v=8m/s,5.36,350.79,72.88,25.27
24,a=0.50m_v=10m/s,5.33,349.18,72.78,25.23
25,a=1.00m_windless,5.96,390.4,75.2,26.31
26,a=1.00m_v=2m/s,5.75,376.17,74.39,25.87
27,a=1.00m_v=4m/s,5.62,367.81,73.9,25.63
28,a=1.00m_v=6m/s,5.55,363.54,73.64,25.51
29,a=1.00m_v=8m/s,5.51,360.79,73.48,25.44
30,a=1.00m_v=10m/s,5.48,358.81,73.36,25.39
31,a=2.00m_windless,6.06,396.81,75.56,26.5
32,a=2.00m_v=2m/s,5.91,387.11,75.01,26.18
33,a=2.00m_v=4m/s,5.77,377.95,74.49,25.9
34,a=2.00m_v=6m/s,5.7,373.0,74.2,25.75
35,a=2.00m_v=8m/s,5.65,369.76,74.01,25.65
36,a=2.00m_v=10m/s,5.61,367.39,73.87,25.59
