case_number,name,n_stages,T_amb_c,water productivity (kg/m2/hr),total efficiency (%),absorber temp (C),top surface temp (C)
1,n=2_T=15C,2,15,1.64,107.29,47.29,14.34
2,n=2_T=20C,2,20,1.73,113.01,49.74,17.57
3,n=2_T=25C,2,25,1.81,118.45,52.34,20.71
4,n=2_T=30C,2,30,1.89,123.59,55.09,23.76
5,n=2_T=35C,2,35,1.96,128.4,58.01,26.7
6,n=2_T=40C,2,40,2.03,132.87,61.11,29.5
7,n=2_T=45C,2,45,2.09,137.03,64.39,32.11
8,n=4_T=15C,4,15,3.06,200.33,58.81,16.95
9,n=4_T=20C,4,20,3.22,211.04,60.93,20.12
10,n=4_T=25C,4,25,3.38,221.42,63.15,23.21
11,n=4_T=30C,4,30,3.53,231.44,65.48,26.19
12,n=4_T=35C,4,35,3.68,241.06,67.95,29.06
13,n=4_T=40C,4,40,3.82,250.27,70.56,31.79
14,n=4_T=45C,4,45,3.96,259.13,73.34,34.33
15,n=6_T=15C,6,15,4.19,274.46,65.7,18.5
16,n=6_T=20C,6,20,4.44,290.42,67.81,21.69
17,n=6_T=25C,6,25,4.68,306.13,69.99,24.78
18,n=6_T=30C,6,30,4.91,321.46,72.25,27.76
19,n=6_T=35C,6,35,5.14,336.41,74.61,30.63
20,n=6_T=40C,6,40,5.36,350.99,77.09,33.36
21,n=6_T=45C,6,45,5.58,365.22,79.71,35.9
22,n=8_T=15C,8,15,5.05,330.74,70.22,19.51
23,n=8_T=20C,8,20,5.38,352.06,72.44,22.73
24,n=8_T=25C,8,25,5.7,373.25,74.71,25.85
25,n=8_T=30C,8,30,6.02,394.16,77.03,28.86
26,n=8_T=35C,8,35,6.34,414.81,79.42,31.76
27,n=8_T=40C,8,40,6.65,435.12,81.91,34.51
28,n=8_T=45C,8,45,6.95,455.32,84.52,37.08
29,n=10_T=15C,10,15,5.67,371.43,73.28,20.19
30,n=10_T=20C,10,20,6.08,397.89,75.66,23.46
31,n=10_T=25C,10,25,6.48,424.45,78.07,26.62
32,n=10_T=30C,10,30,6.89,450.91,80.5,29.66
33,n=10_T=35C,10,35,7.29,477.31,83.0,32.59
34,n=10_T=40C,10,40,7.69,503.58,85.58,35.38
35,n=10_T=45C,10,45,8.1,530.04,88.25,37.99
36,n=12_T=15C,12,15,6.1,399.24,75.36,20.66
37,n=12_T=20C,12,20,6.57,430.38,77.91,23.96
38,n=12_T=25C,12,25,7.05,461.89,80.48,27.16
39,n=12_T=30C,12,30,7.54,493.58,83.06,30.25
40,n=12_T=35C,12,35,8.03,525.52,85.7,33.22
41,n=12_T=40C,12,40,8.52,557.65,88.4,36.05
42,n=12_T=45C,12,45,9.02,590.47,91.19,38.71
