case_number,name,water productivity (kg/m2/hr),total efficiency (%),absorber temp (C)
1,a=0.05m_windless,1.93,121.73,54.4
2,a=0.05m_v=2m/s,0.6,37.57,41.44
3,a=0.05m_v=4m/s,0.34,21.55,37.95
4,a=0.05m_v=6m/s,0.22,14.03,36.11
5,a=0.05m_v=8m/s,0.15,9.46,34.91
6,a=0.05m_v=10m/s,0.1,6.32,34.05
7,a=0.10m_windless,2.24,141.22,56.68
8,a=0.10m_v=2m/s,0.96,60.74,45.75
9,a=0.10m_v=4m/s,0.63,39.47,41.84
10,a=0.10m_v=6m/s,0.46,29.06,39.67
11,a=0.10m_v=8m/s,0.36,22.61,38.22
12,a=0.10m_v=10m/s,0.29,18.11,37.15
13,a=0.20m_windless,2.49,157.19,58.41
14,a=0.20m_v=2m/s,1.39,88.02,50.01
15,a=0.20m_v=4m/s,0.99,62.44,46.05
16,a=0.20m_v=6m/s,0.78,49.06,43.69
17,a=0.20m_v=8m/s,0.64,40.49,42.06
18,a=0.20m_v=10m/s,0.54,34.4,40.82
19,a=0.50m_windless,2.76,174.27,60.14
20,a=0.50m_v=2m/s,2.0,126.06,54.96
21,a=0.50m_v=4m/s,1.56,98.47,51.47
22,a=0.50m_v=6m/s,1.31,82.49,49.21
23,a=0.50m_v=8m/s,1.13,71.59,47.54
24,a=0.50m_v=10m/s,1.01,63.5,46.23
25,a=1.00m_windless,2.93,184.91,61.16
26,a=1.00m_v=2m/s,2.42,152.77,57.95
27,a=1.00m_v=4m/s,2.01,126.83,55.05
28,a=1.00m_v=6m/s,1.75,110.65,53.07
29,a=1.00m_v=8m/s,1.57,99.07,51.55
30,a=1.00m_v=10m/s,1.43,90.14,50.32
31,a=2.00m_windless,3.07,194.05,62.01
32,a=2.00m_v=2m/s,2.78,175.74,60.28
33,a=2.00m_v=4m/s,2.43,153.21,58.0
34,a=2.00m_v=6m/s,2.19,138.34,56.38
35,a=2.00m_v=8m/s,2.01,127.21,55.1
36,a=2.00m_v=10m/s,1.87,118.33,54.03
