case_number,name,n_stages,T_amb_c,water productivity (kg/m2/hr),total efficiency (%),absorber temp (C)
1,n=2_T=15C,2,15,0.8,50.5,42.69
2,n=2_T=20C,2,20,0.93,58.48,44.13
3,n=2_T=25C,2,25,1.05,66.46,45.48
4,n=2_T=30C,2,30,1.18,74.36,46.75
5,n=2_T=35C,2,35,1.3,82.16,47.95
6,n=2_T=40C,2,40,1.42,89.77,49.06
7,n=2_T=45C,2,45,1.54,97.09,50.08
8,n=4_T=15C,4,15,1.16,73.45,47.2
9,n=4_T=20C,4,20,1.39,87.49,49.32
10,n=4_T=25C,4,25,1.61,101.87,51.32
11,n=4_T=30C,4,30,1.85,116.53,53.2
12,n=4_T=35C,4,35,2.08,131.34,54.98
13,n=4_T=40C,4,40,2.32,146.23,56.66
14,n=4_T=45C,4,45,2.55,161.05,58.23
15,n=6_T=15C,6,15,1.33,83.85,49.34
16,n=6_T=20C,6,20,1.62,102.36,51.94
17,n=6_T=25C,6,25,1.93,121.73,54.4
18,n=6_T=30C,6,30,2.25,141.84,56.74
19,n=6_T=35C,6,35,2.57,162.58,58.95
20,n=6_T=40C,6,40,2.91,183.85,61.05
21,n=6_T=45C,6,45,3.25,205.53,63.04
22,n=8_T=15C,8,15,1.39,87.61,50.4
23,n=8_T=20C,8,20,1.73,109.28,53.37
24,n=8_T=25C,8,25,2.1,132.36,56.19
25,n=8_T=30C,8,30,2.48,156.75,58.88
26,n=8_T=35C,8,35,2.89,182.34,61.45
27,n=8_T=40C,8,40,3.31,209.0,63.9
28,n=8_T=45C,8,45,3.75,236.68,66.23
29,n=10_T=15C,10,15,1.39,87.83,50.9
30,n=10_T=20C,10,20,1.77,111.62,54.15
31,n=10_T=25C,10,25,2.18,137.35,57.26
32,n=10_T=30C,10,30,2.61,164.95,60.25
33,n=10_T=35C,10,35,3.08,194.32,63.1
34,n=10_T=40C,10,40,3.57,225.42,65.84
35,n=10_T=45C,10,45,4.09,258.19,68.47
36,n=12_T=15C,12,15,1.37,86.29,51.09
37,n=12_T=20C,12,20,1.76,111.39,54.56
38,n=12_T=25C,12,25,2.2,138.91,57.9
39,n=12_T=30C,12,30,2.67,168.81,61.13
40,n=12_T=35C,12,35,3.18,201.03,64.23
41,n=12_T=40C,12,40,3.73,235.61,67.21
42,n=12_T=45C,12,45,4.32,272.6,70.1
